candidate_id,rank,score,reasoning
CAND_0018499,1,95.9210791991494,"7.2 years as Senior Machine Learning Engineer with direct experience in BM25, Embeddings, Information Retrieval, Learning to Rank — the core retrieval and ranking stack in the JD. Stands out for: 9 expert-level JD-aligned skills; 94% semantic match to JD; solid recruiter response rate (0.61); Noida, Uttar Pradesh-based; immediate/30-day notice."
CAND_0046525,2,87.08500399996274,"6.1 years as Senior Machine Learning Engineer with direct experience in Elasticsearch, Information Retrieval, LLMs, NLP — the core retrieval and ranking stack in the JD. Stands out for: 4 expert-level JD-aligned skills; 94% semantic match to JD; very high recruiter response rate (0.88); Pune, Maharashtra-based; 60-day notice."
CAND_0041611,3,84.09917752487182,"6.4 years as Staff Machine Learning Engineer with direct experience in BM25, MLOps, NLP, OpenSearch — the core retrieval and ranking stack in the JD. Stands out for: 10 expert-level JD-aligned skills; 92% semantic match; low recruiter response rate (0.07); based outside India (Austin); immediate/30-day notice."
CAND_0055905,4,80.6051648430148,"8.1 years as Senior Machine Learning Engineer with direct experience in Elasticsearch, Embeddings, Hugging Face Transformers, Information Retrieval — the core retrieval and ranking stack in the JD. Stands out for: 6 expert-level JD-aligned skills; 92% semantic match; very high recruiter response rate (0.87); based outside India (London); immediate/30-day notice."
CAND_0030953,5,80.2074547554016,"7.8 years as Search Engineer with direct experience in Hugging Face Transformers, Learning to Rank, MLOps, Python — the core retrieval and ranking stack in the JD. Stands out for: 4 expert-level JD-aligned skills; 90% semantic match; solid recruiter response rate (0.63); Chennai, Tamil Nadu-based; 45-day notice."
CAND_0077337,6,78.56307646458019,"7.0 years as Staff Machine Learning Engineer with direct experience in BM25, Information Retrieval, LLMs, OpenSearch — the core retrieval and ranking stack in the JD. Stands out for: 11 expert-level JD-aligned skills; 91% semantic match; very high recruiter response rate (0.95); Kochi, Kerala-based; 60-day notice."
CAND_0039754,7,76.08716713343867,"16.2 years as Senior Applied Scientist with direct experience in BM25, Elasticsearch, LLMs, NLP — the core retrieval and ranking stack in the JD. Stands out for: 11 expert-level JD-aligned skills; 88% semantic match; very high recruiter response rate (0.81); Indore, Madhya Pradesh-based; immediate/30-day notice."
CAND_0080766,8,74.082696479187,"8.8 years as Staff Machine Learning Engineer with direct experience in Elasticsearch, Information Retrieval Systems, LoRA, MLOps — the core retrieval and ranking stack in the JD. Stands out for: 9 expert-level JD-aligned skills; 89% semantic match; solid recruiter response rate (0.66); Coimbatore, Tamil Nadu-based; immediate/30-day notice."
CAND_0088025,9,73.4905762170965,"8.6 years as Staff Machine Learning Engineer with direct experience in BM25, Elasticsearch, Hugging Face Transformers, LLMs — the core retrieval and ranking stack in the JD. Stands out for: 11 expert-level JD-aligned skills; 92% semantic match; very high recruiter response rate (0.83); Jaipur, Rajasthan-based; 90-day notice (moderate)."
CAND_0086022,10,73.22787266611488,"5.3 years as Senior Applied Scientist with direct experience in Elasticsearch, Embeddings, LoRA, MLflow — the core retrieval and ranking stack in the JD. Stands out for: 8 expert-level JD-aligned skills; 89% semantic match; moderate recruiter response rate (0.55); Kolkata, West Bengal-based; immediate/30-day notice."
CAND_0081846,11,73.1446462854971,"Lead AI Engineer with 6.7 years and 10 expert-level and 8 advanced-level JD skills covering BM25, Elasticsearch, Embeddings, Information Retrieval. 87% semantic match jaipur, rajasthan-based immediate/30-day notice solid recruiter response rate (0.73) currently open to work."
CAND_0064326,12,71.67906531878465,"Search Engineer with 7.6 years and 6 expert-level and 5 advanced-level JD skills covering BM25, Milvus, PyTorch, Python. 90% semantic match gurgaon, haryana-based 45-day notice very high recruiter response rate (0.94) currently open to work."
CAND_0046064,13,71.18590693896206,"Senior NLP Engineer with 8.9 years and 6 expert-level and 8 advanced-level JD skills covering BM25, Elasticsearch, OpenSearch, PEFT. 89% semantic match coimbatore, tamil nadu-based immediate/30-day notice solid recruiter response rate (0.78) currently open to work."
CAND_0030348,14,70.96890530709005,"Machine Learning Engineer with 4.5 years and 5 expert-level and 7 advanced-level JD skills covering Elasticsearch, Embeddings, MLOps, PyTorch. 91% semantic match noida, uttar pradesh-based 45-day notice moderate recruiter response rate (0.54) currently open to work."
CAND_0070398,15,70.13456521540026,"Machine Learning Engineer with 7.2 years and 8 expert-level and 7 advanced-level JD skills covering BM25, Embeddings, FAISS, Information Retrieval. 91% semantic match kochi, kerala-based 120-day notice (long) solid recruiter response rate (0.60) currently open to work."
CAND_0069905,16,69.4667913001598,"Applied ML Engineer with 6.6 years and 7 expert-level and 5 advanced-level JD skills covering Hugging Face Transformers, Learning to Rank, LoRA, MLOps. 89% semantic match bhubaneswar, odisha-based 90-day notice (moderate) solid recruiter response rate (0.78) currently open to work."
CAND_0079387,17,68.90690550598838,"AI Engineer with 6.9 years and 8 expert-level and 5 advanced-level JD skills covering BM25, Learning to Rank, LoRA, OpenSearch. 86% semantic match trivandrum, kerala-based immediate/30-day notice very high recruiter response rate (0.81) currently open to work."
CAND_0028793,18,68.53012119463689,"Search Engineer with 7.2 years and 5 expert-level and 6 advanced-level JD skills covering Embeddings, Information Retrieval, Learning to Rank, LoRA. 89% semantic match trivandrum, kerala-based 120-day notice (long) moderate recruiter response rate (0.57) currently open to work."
CAND_0008425,19,68.33667235081066,"Senior NLP Engineer with 7.8 years and 11 expert-level and 5 advanced-level JD skills covering Hugging Face Transformers, Information Retrieval, Learning to Rank, LoRA. 89% semantic match kolkata, west bengal-based 90-day notice (moderate) solid recruiter response rate (0.66) currently open to work."
CAND_0075249,20,68.28016243526389,"Applied ML Engineer with 6.2 years and 8 expert-level and 2 advanced-level JD skills covering BM25, Learning to Rank, MLflow, Milvus. 90% semantic match ahmedabad, gujarat-based 45-day notice very high recruiter response rate (0.82) currently open to work."
CAND_0041669,21,68.1823878813657,"Recommendation Systems Engineer with 8.0 years and 3 expert-level and 13 advanced-level JD skills covering FAISS, Information Retrieval, MLOps, MLflow. 88% semantic match noida, uttar pradesh-based 60-day notice solid recruiter response rate (0.77) currently open to work."
CAND_0092278,22,68.13760518814087,"Senior NLP Engineer with 6.8 years and 10 expert-level and 4 advanced-level JD skills covering Elasticsearch, Hugging Face Transformers, LLMs, MLflow. 89% semantic match pune, maharashtra-based 90-day notice (moderate) low recruiter response rate (0.07)."
CAND_0055992,23,67.55772501799252,"AI Engineer with 16.9 years and 7 expert-level and 5 advanced-level JD skills covering Embeddings, FAISS, Information Retrieval, MLflow. 89% semantic match based outside india (sydney) 60-day notice solid recruiter response rate (0.72) currently open to work."
CAND_0013613,24,67.50701601351652,"Machine Learning Engineer with 4.7 years and 7 expert-level and 2 advanced-level JD skills covering LoRA, MLflow, Sentence Transformers, TensorFlow. 90% semantic match based outside india (singapore) 60-day notice solid recruiter response rate (0.73) currently open to work."
CAND_0083879,25,67.30075571628917,"Machine Learning Engineer with 7.1 years and 6 expert-level and 2 advanced-level JD skills covering Hugging Face Transformers, MLOps, Milvus, Sentence Transformers. 92% semantic match noida, uttar pradesh-based immediate/30-day notice moderate recruiter response rate (0.47) currently open to work."
CAND_0031593,26,66.93926113034334,"Search Engineer with 7.8 years and 5 expert-level and 6 advanced-level JD skills covering BM25, Elasticsearch, Embeddings, Hugging Face Transformers. 90% semantic match kolkata, west bengal-based 90-day notice (moderate) moderate recruiter response rate (0.58) currently open to work."
CAND_0075574,27,66.65964449876265,"Machine Learning Engineer with 5.7 years and 9 expert-level and 4 advanced-level JD skills covering BM25, Elasticsearch, Hugging Face Transformers, OpenSearch. 90% semantic match bangalore, karnataka-based 60-day notice moderate recruiter response rate (0.58) currently open to work."
